iter	Passed	Remaining
0	72	7168
1	83	4083
2	92	3002
3	106	2560
4	116	2210
5	131	2065
6	142	1888
7	153	1761
8	165	1669
9	175	1575
10	184	1495
11	196	1441
12	207	1390
13	218	1342
14	230	1306
15	241	1268
16	251	1228
17	263	1201
18	275	1175
19	285	1140
20	297	1117
21	307	1090
22	319	1070
23	331	1049
24	341	1024
25	351	1001
26	362	979
27	371	955
28	383	939
29	399	932
30	410	912
31	422	898
32	435	883
33	446	866
34	458	851
35	469	834
36	479	816
37	490	800
38	501	784
39	514	771
40	522	752
41	534	737
42	543	720
43	551	702
44	562	687
45	571	670
46	582	656
47	592	641
48	602	627
49	612	612
50	620	596
51	630	581
52	639	567
53	650	553
54	658	538
55	667	524
56	676	510
57	685	496
58	698	485
59	708	472
60	718	459
61	728	446
62	738	433
63	749	421
64	762	410
65	772	397
66	792	390
67	816	384
68	835	375
69	855	366
70	876	358
71	892	347
72	905	334
73	920	323
74	930	310
75	955	301
76	981	293
77	995	280
78	1015	270
79	1038	259
80	1060	248
81	1082	237
82	1105	226
83	1128	214
84	1150	203
85	1171	190
86	1183	176
87	1195	163
88	1207	149
89	1221	135
90	1234	122
91	1249	108
92	1268	95
93	1287	82
94	1305	68
95	1327	55
96	1338	41
97	1349	27
98	1358	13
99	1369	0
